#ID	a	e	i	o	p	M
1	2.77	0.08	10.58	80.44	73.86	22.24
2	2.77	0.23	34.85	173.17	310.53	7.37
3	2.67	0.26	12.97	170.13	247.88	277.62
4	2.36	0.09	7.13	103.93	150.27	97.05
5	2.57	0.19	5.37	141.69	357.52	98.91
6	2.43	0.20	14.76	138.84	239.15	143.98
7	2.39	0.23	5.52	259.74	145.42	162.51
8	2.20	0.16	5.89	111.03	284.96	35.86
9	2.39	0.12	5.58	68.98	5.49	300.91
10	3.14	0.12	3.84	283.63	313.40	291.69
11	2.45	0.10	4.62	125.64	195.43	359.23
12	2.33	0.22	8.36	235.55	69.73	108.25
13	2.58	0.08	16.54	43.30	81.42	3.62
14	2.59	0.17	9.11	86.48	96.43	350.24
15	2.65	0.19	11.73	293.40	97.58	148.83
16	2.92	0.14	3.10	150.35	228.05	323.38
17	2.47	0.13	5.59	125.62	135.91	38.43
18	2.30	0.22	10.13	150.55	227.97	205.24
19	2.44	0.16	1.57	211.38	182.09	268.40
20	2.41	0.14	0.71	206.53	255.58	161.64
21	2.44	0.16	3.06	80.92	250.25	49.43
22	2.91	0.10	13.71	66.25	356.36	223.88
23	2.63	0.23	10.14	67.24	59.30	189.88
24	3.13	0.13	0.76	35.98	107.95	132.61
25	2.40	0.26	21.58	214.28	90.17	207.92
26	2.66	0.09	3.56	45.88	192.90	339.19
27	2.35	0.17	1.58	94.81	356.54	322.25
28	2.78	0.15	9.40	144.51	342.47	226.42
29	2.56	0.07	6.10	356.54	62.79	85.57
30	2.37	0.13	2.10	307.93	86.14	34.39
31	3.15	0.23	26.32	31.25	62.08	233.41
32	2.59	0.08	5.53	220.58	339.78	216.51
33	2.87	0.34	1.87	8.61	338.30	346.34
34	2.69	0.11	5.50	184.53	330.53	20.83
35	2.99	0.23	7.94	353.85	214.18	284.77
36	2.75	0.30	18.43	358.48	47.22	233.71
37	2.64	0.18	3.07	7.41	62.83	205.48
38	2.74	0.15	6.95	295.95	168.40	294.25
39	2.77	0.11	10.38	157.17	209.68	246.94
40	2.27	0.05	4.26	94.31	269.13	18.03
41	2.77	0.27	15.77	178.17	46.13	76.20
