#Prov. Des.     q       Q      H     Epoch      M    Peri. Node   Incl.  e      a    
2006 AO98   36.752  49.736   8.4   20060105  360.0    2.8 125.9  22.5 0.150  43.244 
2006 AN98   42.820  45.447   8.2   20060105  360.0   26.1 102.2   2.5 0.030  44.133 
2006 AM98   39.432  48.110   7.7   20060105  360.0  179.4 308.4  19.0 0.099  43.771 
2006 AL98   38.046  48.564   9.0   20060105  360.0    2.2 125.6  13.7 0.121  43.305 
2006 AK98   42.029  46.375   8.4   20060105  360.0    1.7 126.0  17.7 0.049  44.202 
2005 XN113  42.502  44.299   5.9   20051216    0.0   73.6 335.4   3.4 0.021  43.401 
2005 VA123  33.444  45.593   6.8   20051126    0.1   24.7  39.0   1.5 0.154  39.519 
2005 VZ122  34.348  44.581   7.5   20051126    0.1  200.2 222.4  12.3 0.130  39.465 
2005 TO74   27.482  32.925   8.4   20051106  268.6  299.8 169.4   5.2 0.090  30.203 
2005 PU21   41.900  46.656   6.2   20050907  181.6  332.5 188.7   7.0 0.054  44.278 
2005 PS21   44.916  44.916   6.5   20050907    0.1  147.6 188.9   2.6 0.0    44.916 
2005 PR21   40.729  46.998   5.9   20050927    0.2  356.4 339.1   1.3 0.071  43.863 
2005 PP21   41.463  49.542   6.5   20050729  360.0  211.8 132.7   1.6 0.089  45.502 
2005 PO21   43.291  43.291   6.9   20050729    0.0  287.8  55.8   2.6 0.0    43.291 
2005 PN21   45.739  45.739   6.3   20050729    0.0  311.7  31.7   2.7 0.0    45.739 
2005 PM21   37.781  49.575   6.6   20050729  360.0  349.7 350.8  28.5 0.135  43.678 
2005 PL21   42.993  46.603   6.2   20050729  360.0  271.8  45.6   4.7 0.040  44.798 
2005 PK21   40.518  48.139   7.0   20050729  360.0   11.8 289.3   4.1 0.086  44.329 
2005 JR179  45.488  45.488   5.9   20050510    0.0   41.3  69.7   3.9 0.0    45.488 
2005 JQ179  43.784  43.784   6.4   20050510    0.0   29.3  80.8   2.6 0.0    43.784 
2005 JP179  42.139  44.699   5.8   20050619    0.1   72.8 137.3   2.1 0.029  43.419 
2005 JO179  41.518  45.747   6.7   20050510  360.0   68.2 137.5   2.2 0.048  43.633 
2005 JH177  40.934  47.070   6.8   20050510  360.0   91.7 116.2   3.3 0.070  44.002 
2005 JA175  38.617  46.839   5.7   20050619  200.8  157.7 225.1  14.2 0.096  42.728 
2005 JZ174  35.142  54.864   6.3   20050619  297.0  238.8  59.4   6.5 0.219  45.003 
2005 GW210  28.947  50.409   7.5   20050510   53.6   88.8  37.7  24.7 0.270  39.678 
2005 GV210  27.193  62.836   6.7   20050510   54.4  272.7 174.8  12.1 0.396  45.015 
2005 GZ206  39.748  49.747   7.2   20050331  360.0  159.0  41.1  26.8 0.112  44.747 
2005 GY206  34.785  44.641   7.7   20050331  360.0   23.9 155.5  19.5 0.124  39.713 
2005 GX206  37.207  42.038   6.9   20050331  360.0   49.8 128.7   9.7 0.061  39.622 
2005 GF187  29.402  50.163   7.5   20050530  334.9  134.6 128.8   3.9 0.261  39.782 
2005 GE187  26.898  52.303   6.7   20050420  322.3   83.6 205.3  18.2 0.321  39.600 
2005 GD187  44.555  44.555   6.9   20050510    0.1  156.8 353.1   0.7 0.0    44.555 
2005 GC187  38.583  50.553   6.9   20050530  351.1  222.0   2.0   2.4 0.134  44.568 
2005 GB187  30.018  49.571   6.7   20050530    7.8  341.6 217.1  14.7 0.246  39.795 
2005 GA187  32.193  45.377   7.5   20050530  279.1  284.8  27.7  18.7 0.170  38.785 
2005 GZ186  38.183  49.477   7.0   20050331  360.0  154.0  36.0   7.5 0.129  43.830 
2005 GY186  38.302  47.850   7.4   20050331  360.0  182.4   5.0  12.5 0.111  43.076 
2005 GX186  43.493  43.493   7.2   20050331    0.0   14.1 158.1   3.6 0.0    43.493 
2005 GW186  36.893  49.533   6.8   20050331  360.0  349.5 157.8   3.0 0.146  43.213 
2005 FY9    38.624  52.794  -0.4   20060306  147.1  296.4  79.6  29.0 0.155  45.709 
2005 EX318  32.490  46.732   7.0   20050219  359.9   83.4  94.2   6.5 0.180  39.611 
2005 EW318  46.604  46.604   6.4   20050420    0.2   25.2 128.8   1.1 0.0    46.604 
2005 ER318  31.360  42.121   7.8   20050311  360.0  174.5 333.6  10.3 0.146  36.740 
